time,hand_id,middle_x,middle_y,middle_z,chin_x,chin_y,chin_z;;
8.717,0,0.5150300562381744,0.15455566346645355,0.014451777562499046,0.5722968578338623,0.3332786560058594,-0.03169265016913414;;
9.217,0,0.4744562655687332,0.06694421172142029,0.036979157477617264,0.5498954653739929,0.2198411375284195,-0.0414421372115612;;
9.739,0,0.7731603682041168,0.7986926138401031,-0.07914181426167488,0.586129367351532,0.1403365433216095,-0.0338820144534111;;
11.292,0,0.7714113295078278,0.8915082812309265,-0.07405983656644821,0.5734028816223145,0.1981981098651886,-0.04798819497227669;;
20.237,0,0.6125295758247375,0.0678546093404293,-0.011545547749847174,0.5268355011940002,0.2382396161556244,-0.02019914612174034;;
20.771,0,0.5972972810268402,0.030978839844465256,0.004524998483248055,0.5199221968650818,0.2330932915210724,-0.026176145300269127;;
21.275,0,0.5937175154685974,0.03204105235636234,0.008210158441215754,0.5212750434875488,0.24031849205493927,-0.01906157098710537;;
21.776,0,0.5940219163894653,0.04755060374736786,-0.006322505651041865,0.5153614282608032,0.23853743076324463,-0.019658830016851425;;
22.277,0,0.5849983990192413,0.01731748878955841,0.0011529063121997751,0.5204592943191528,0.2296222746372223,-0.026771795004606247;;
22.812,0,0.5918690860271454,0.021088123321533203,0.003760536899790168,0.5218417644500732,0.18985852599143982,-0.027371065691113472;;
23.345,0,0.6484543085098267,0.12434853240847588,-0.04467719793319702,0.5401521325111389,0.16812467575073242,-0.03266935795545578;;
23.891,0,0.6737664937973022,0.5200730562210083,-0.021170946769416332,0.5595420002937317,0.14917221665382385,-0.02809104695916176;;
24.405,0,0.6542305052280426,0.6042791306972504,-0.05523995868861675,0.5367982983589172,0.18939995765686035,-0.029454005882143974;;
24.923,0,0.6601714193820953,0.6183451116085052,-0.0533573217689991,0.5440242886543274,0.22466614842414856,-0.014721487648785114;;
25.431,0,0.36485661566257477,0.6063645780086517,-0.03736099600791931,0.5362268090248108,0.2499685287475586,-0.008645204827189445;;
25.948,0,0.7045484781265259,0.5878951251506805,-0.04095657356083393,0.5317930579185486,0.2539788782596588,-0.007960734888911247;;
26.451,0,0.18079908937215805,0.5734590291976929,-0.031838346272706985,0.5344046950340271,0.24100516736507416,-0.00801656860858202;;
26.969,0,0.7728228271007538,0.570157915353775,-0.03049518447369337,0.5336562991142273,0.22084930539131165,-0.015773875638842583;;
27.478,0,0.25110405683517456,0.5387923419475555,-0.041680313646793365,0.5327911972999573,0.24599586427211761,-0.011445358395576477;;
27.996,0,0.6761818528175354,0.5462552309036255,-0.04626365937292576,0.5141472816467285,0.20664110779762268,-0.015966396778821945;;
28.541,0,0.42356128990650177,0.6999146044254303,-0.04103950597345829,0.5170999765396118,0.1770934760570526,-0.02299746312201023;;
29.042,0,0.434091180562973,0.7370800077915192,-0.08537111803889275,0.5263453722000122,0.16829517483711243,-0.022227127104997635;;
29.544,0,0.4324913024902344,0.7535474002361298,-0.08244684338569641,0.5241508483886719,0.16002708673477173,-0.024916518479585648;;
30.077,0,0.43836483359336853,0.7347859740257263,-0.06605622917413712,0.5245912075042725,0.17040546238422394,-0.025250570848584175;;
30.6,0,0.640547126531601,0.6548196375370026,-0.06427818909287453,0.5262721180915833,0.17451678216457367,-0.02270464599132538;;
31.102,0,0.4255949407815933,0.7517301440238953,-0.04328864812850952,0.5274115204811096,0.16498030722141266,-0.023600200191140175;;
31.603,0,0.6361969709396362,0.666243851184845,-0.054498009383678436,0.5266317129135132,0.15797114372253418,-0.028149642050266266;;
32.138,0,0.36870869994163513,0.5981035530567169,-0.0338022205978632,0.525384247303009,0.1546081304550171,-0.02931078150868416;;
32.665,0,0.6433043479919434,0.5081308782100677,-0.05297751724720001,0.5264267921447754,0.14730027318000793,-0.029034268110990524;;
33.175,0,0.6424336433410645,0.4862010329961777,-0.050732407718896866,0.5244033932685852,0.14143720269203186,-0.02541828528046608;;
33.677,0,0.6353486180305481,0.5162250995635986,-0.05588927119970322,0.5292508006095886,0.14440509676933289,-0.026742560788989067;;
34.202,0,0.6285169124603271,0.5397467315196991,-0.05087870731949806,0.5275363922119141,0.1519363522529602,-0.025061598047614098;;
34.712,0,0.396221399307251,0.41231466829776764,-0.04902070760726929,0.5267230272293091,0.1524011790752411,-0.025525398552417755;;
35.224,0,0.6414476037025452,0.5540405511856079,-0.05683579854667187,0.5324327349662781,0.1541009247303009,-0.02619636431336403;;
35.73,0,0.34672214090824127,0.20068535208702087,-0.04578399658203125,0.5314417481422424,0.15474608540534973,-0.026637114584445953;;
36.233,0,0.3668398857116699,0.4563939869403839,-0.0468988623470068,0.5279380083084106,0.15270960330963135,-0.027479976415634155;;
36.736,0,0.30071768164634705,0.45204682648181915,-0.05174871347844601,0.5163549780845642,0.16043496131896973,-0.022911177948117256;;
37.272,0,0.600722461938858,0.4710472971200943,-0.050434716045856476,0.5126746892929077,0.1672460436820984,-0.02295543998479843;;
37.805,0,0.33597658574581146,0.38266852498054504,-0.04642629623413086,0.5200356245040894,0.1664021909236908,-0.023396719247102737;;
38.329,0,0.6487388014793396,0.4429572969675064,-0.03506644628942013,0.5270829796791077,0.16309583187103271,-0.025884905830025673;;
38.854,0,0.36877743899822235,0.4820908457040787,-0.05841518193483353,0.5264979004859924,0.16171807050704956,-0.02605683170258999;;
39.355,0,0.36826711893081665,0.5029956102371216,-0.05721940100193024,0.5314556360244751,0.16068771481513977,-0.024762175977230072;;
39.881,0,0.3044281154870987,0.5347643494606018,-0.004839696688577533,0.5263338088989258,0.16483071446418762,-0.023188134655356407;;
40.4,0,0.31416061520576477,0.5949245393276215,-0.05710173211991787,0.5128123760223389,0.17045651376247406,-0.022897914052009583;;
40.902,0,0.6207075715065002,0.520622193813324,-0.051402533426880836,0.506496012210846,0.1730223447084427,-0.02292070910334587;;
41.417,0,0.6395967900753021,0.5197401940822601,-0.05299744941294193,0.5269873738288879,0.16835783421993256,-0.0238729789853096;;
41.918,0,0.40588076412677765,0.5189288258552551,-0.048522135242819786,0.5341306924819946,0.16783744096755981,-0.02039383351802826;;
42.437,0,0.6440213024616241,0.5196211040019989,-0.04685075767338276,0.5304422378540039,0.17001575231552124,-0.0222849790006876;;
42.968,0,0.6281843185424805,0.4942186027765274,-0.05142216198146343,0.533501386642456,0.16903361678123474,-0.023711983114480972;;
43.47,0,0.3867734521627426,0.38759149610996246,-0.04987015575170517,0.5301764607429504,0.1699056327342987,-0.02575453370809555;;
44.007,0,0.6437394320964813,0.51526939868927,-0.044529110193252563,0.5358186364173889,0.1686318814754486,-0.025483429431915283;;
44.523,0,0.6583071947097778,0.5249033868312836,-0.042037999257445335,0.5321970582008362,0.17262126505374908,-0.024578461423516273;;
45.033,0,0.6710867285728455,0.5685678124427795,-0.04120640084147453,0.5314484238624573,0.17257025837898254,-0.024919206276535988;;
45.572,0,0.6604502201080322,0.4819123446941376,-0.05144304223358631,0.5279013514518738,0.16876092553138733,-0.024149969220161438;;
46.099,0,0.2896323502063751,0.6341973841190338,-0.033235589042305946,0.5254161357879639,0.1699533760547638,-0.02160411886870861;;
46.619,0,0.6610540747642517,0.47122617065906525,-0.04765881970524788,0.5296466946601868,0.17109662294387817,-0.0235787071287632;;
