time_sec,chin_x,chin_y,chin_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.93,0.5353278517723083,0.38537144660949707,0.0022822574246674776,,,,,,
1.44,0.5221765041351318,0.3400131165981293,-0.02110275812447071,,,,,,
1.98,0.5288705229759216,0.32766929268836975,-0.032290223985910416,,,,,,
2.54,0.5123160481452942,0.33454325795173645,-0.03262169659137726,,,,,,
3.06,0.4995137155056,0.3402364253997803,-0.03320132941007614,,,,,,
3.56,0.49895766377449036,0.34287914633750916,-0.024085883051156998,,,,,,
4.11,0.5070699453353882,0.3407302498817444,-0.03795604780316353,,,,,,
4.62,0.5078402757644653,0.33833345770835876,-0.032731689512729645,,,,,,
5.14,0.5126497745513916,0.3426952660083771,-0.032386425882577896,,,,,,
5.67,0.5057094693183899,0.3554345369338989,-0.023816673085093498,,,,,,
6.18,0.510712742805481,0.3488398790359497,-0.03057316318154335,,,,,,
6.7,0.5385512709617615,0.33599936962127686,-0.04593195021152496,,,,,,
7.21,0.5340184569358826,0.3178552985191345,-0.050752539187669754,,,,,,
7.79,0.5313869118690491,0.3226367235183716,-0.04844210296869278,,,,,,
8.38,0.5143510699272156,0.32514479756355286,-0.047973424196243286,,,,,,
8.9,0.5247083306312561,0.33121949434280396,-0.051082793623209,,,,,,
9.42,0.5478267669677734,0.31582343578338623,-0.05175115913152695,,,,,,
9.95,0.5469227433204651,0.3251582086086273,-0.04886928200721741,,,,,,
10.45,0.5452004671096802,0.33418816328048706,-0.05039118975400925,,,,,,
10.99,0.5464205145835876,0.3327975273132324,-0.048884570598602295,,,,0.7897172570228577,0.8911805748939514,-1.1604610605786547e-08
11.52,0.551731526851654,0.328325092792511,-0.05105534940958023,0.20345830917358398,0.7907267212867737,-1.9485227653603943e-07,,,
12.05,0.5477566719055176,0.3321700096130371,-0.04835614562034607,,,,,,
12.57,0.54426109790802,0.3364940583705902,-0.049827318638563156,0.21886375546455383,0.8443564772605896,-1.7011372221986676e-07,0.7289260029792786,0.8844037652015686,2.4953919819381554e-07
13.11,0.5420734882354736,0.337594211101532,-0.0513375885784626,0.19908027350902557,0.7952727675437927,2.9456842298714037e-07,0.7281039953231812,0.8451662659645081,-1.1659459886459445e-07
13.64,0.5440515875816345,0.3269568085670471,-0.05276098847389221,0.19533422589302063,0.790166974067688,-5.3661374010971485e-08,0.7379017472267151,0.9035964012145996,1.967986094086882e-07
14.17,0.5126606822013855,0.38267645239830017,-0.0011443489929661155,0.2560019791126251,0.8465917110443115,-5.830467486589441e-08,0.7245120406150818,0.8846446871757507,3.9689646769147657e-07
14.68,0.5038706064224243,0.41807979345321655,0.0026836225297302008,,,,0.71946781873703,0.8911566734313965,3.960420826842892e-07
15.22,0.5091292262077332,0.4145718216896057,-0.0006690551526844501,0.25150570273399353,0.8486362099647522,3.251709586038487e-07,0.7219651341438293,0.8869028687477112,4.045400885388517e-07
15.73,0.5106420516967773,0.41385751962661743,-0.006002005189657211,0.24441054463386536,0.8448121547698975,3.964548156432102e-08,0.71181321144104,0.8992133140563965,4.4042184299541987e-07
16.27,0.5079950094223022,0.41668426990509033,-0.007348698563873768,0.23028886318206787,0.8233323693275452,7.628531584202847e-09,0.6961526870727539,0.9126502871513367,4.316313777508185e-07
16.78,0.513148307800293,0.42323482036590576,0.007289995905011892,,,,0.6809729337692261,0.9180602431297302,4.384183398542518e-07
17.32,0.5079798698425293,0.4207732677459717,-0.00020948972087353468,0.24552826583385468,0.8475556969642639,6.04492100819698e-08,0.6884954571723938,0.917759895324707,2.7043071781918115e-07
17.83,0.5123009085655212,0.4217282831668854,-0.0040056039579212666,0.25149834156036377,0.8604031205177307,-1.8157776393579184e-09,0.7235733270645142,0.9299144148826599,2.446001303724188e-07
18.34,0.5134776830673218,0.4247186779975891,0.001522389822639525,0.2604118883609772,0.8683472275733948,5.7130627340029605e-08,0.8385498523712158,0.8662292957305908,4.5881571963946044e-07
18.86,0.5201078653335571,0.43093329668045044,0.0018915134714916348,0.2717786729335785,0.8520013093948364,5.634495892081759e-08,0.8540971875190735,0.8119786381721497,-1.200634613951479e-07
19.37,0.5183699727058411,0.4267752766609192,0.0020386434625834227,,,,0.8206114172935486,0.8527833819389343,2.9727158334935666e-07
19.89,0.5085364580154419,0.4222445487976074,0.004594510421156883,,,,0.6783417463302612,0.9176765084266663,3.3549540034982783e-07
20.4,0.5044095516204834,0.42210525274276733,0.00672497320920229,0.22040969133377075,0.8431134819984436,1.384527763548249e-07,0.6781592965126038,0.9237133860588074,2.0096101138733502e-07
20.95,0.5098651647567749,0.427036315202713,0.010296517983078957,,,,0.7282265424728394,0.9346462488174438,5.851768847264793e-08
21.48,0.5329926609992981,0.4315502643585205,0.012169565074145794,,,,,,
21.99,0.5144482254981995,0.42130088806152344,0.005978218279778957,0.7280603051185608,0.8707519173622131,2.358396500312665e-07,0.23658010363578796,0.7984094023704529,-2.2576072566948824e-08
22.51,0.5218433141708374,0.4135245978832245,-0.004160051234066486,0.2253948301076889,0.8267557621002197,-3.59437706265453e-08,0.7268933653831482,0.8800913095474243,2.3719329078630835e-07
23.05,0.5230692028999329,0.40798527002334595,-0.0025395466946065426,0.7196609973907471,0.8798872828483582,9.186249627646248e-08,,,
23.56,0.5108981728553772,0.40519338846206665,0.008275356143712997,,,,0.7255904078483582,0.8800618648529053,3.995344002305501e-07
24.1,0.5110747218132019,0.42002031207084656,0.01793772727251053,,,,0.7115866541862488,0.8858470320701599,3.9287951381083985e-07
24.61,0.5199791789054871,0.4181004464626312,0.014474126510322094,,,,0.7207385897636414,0.8913481831550598,4.044675563363853e-07
25.14,0.5257488489151001,0.41469812393188477,0.007118789479136467,,,,0.7248616814613342,0.8889364004135132,3.525188674302626e-07
25.66,0.5166028738021851,0.4187600910663605,0.0042009237222373486,,,,0.25520074367523193,0.7947068214416504,1.2247461711467622e-07
26.17,0.5245587825775146,0.42168161273002625,-0.0024184866342693567,0.2771846652030945,0.8331075310707092,2.8319465883441808e-08,0.709915041923523,0.8822364807128906,1.3716459079660126e-07
26.71,0.5196365118026733,0.42168229818344116,0.0028931107372045517,0.23911860585212708,0.8344192504882812,6.172281530325563e-08,,,
27.23,0.5192469358444214,0.42357155680656433,0.00011312182323308662,,,,,,
27.77,0.5314512252807617,0.42262324690818787,-0.00034665994462557137,0.2576630413532257,0.8330092430114746,-1.1443694347690325e-07,0.7444040775299072,0.8837040662765503,-8.963059627831171e-08
28.3,0.5473708510398865,0.42045244574546814,0.011045857332646847,,,,0.7744206190109253,0.9077924489974976,1.2158277229445957e-07
28.81,0.5334960222244263,0.42389973998069763,0.01067898515611887,0.7692021131515503,0.9065306186676025,9.76966560983783e-08,,,
29.33,0.5182239413261414,0.41829371452331543,0.00023544943542219698,0.222291961312294,0.823814332485199,8.876904900034788e-08,,,
29.84,0.5242190957069397,0.42048704624176025,0.0019459088798612356,0.22595250606536865,0.872789740562439,-2.5562373551224482e-08,0.7592945694923401,0.8667516708374023,4.166368938740561e-08
30.35,0.530625581741333,0.4255672097206116,0.006357518024742603,,,,,,
30.89,0.5403766632080078,0.4267141819000244,0.007224185857921839,0.22015449404716492,0.5175510048866272,-2.6990532031589964e-09,,,
31.43,0.5292598009109497,0.43254217505455017,0.010181077755987644,,,,0.7293347716331482,0.954037606716156,3.8049608974688454e-07
31.96,0.5107202529907227,0.43211907148361206,0.011628955602645874,0.16201944649219513,0.8103071451187134,1.977338826009145e-08,,,
32.48,0.5136248469352722,0.42975494265556335,0.005887504667043686,0.1513325273990631,0.7939959168434143,-4.677537646102792e-08,0.749713659286499,0.9040753245353699,1.8390865363926423e-07
33.02,0.5185526013374329,0.42465969920158386,0.004139987751841545,,,,,,
33.52,0.5214735865592957,0.4217899739742279,0.007827673107385635,,,,,,
34.04,0.5129358172416687,0.4241882860660553,3.790772825595923e-05,0.19899743795394897,0.7363424301147461,1.4359237354710785e-07,,,
34.56,0.514154851436615,0.43418988585472107,0.007437240332365036,0.19407959282398224,0.961351752281189,-5.140373460221781e-08,,,
35.08,0.515129804611206,0.4370619058609009,0.013293619267642498,,,,,,
35.59,0.5156709551811218,0.4367492198944092,0.0028702367562800646,,,,0.720636785030365,0.8475314378738403,-1.0926829929758242e-07
36.1,0.5182806849479675,0.4452041983604431,0.011311054229736328,,,,0.7108121514320374,0.915867805480957,2.4905901341298886e-07
36.6,0.5135911107063293,0.4481865167617798,0.003968303091824055,,,,,,
37.16,0.5212182402610779,0.4476566016674042,0.012869153171777725,0.2239169031381607,0.8472334146499634,3.062791620322969e-08,,,
37.67,0.5139520168304443,0.43515950441360474,0.00676852697506547,,,,,,
38.17,0.5197664499282837,0.42438584566116333,0.009434475563466549,,,,0.7369386553764343,0.8773516416549683,3.221691429189377e-07
38.7,0.5239484906196594,0.4188673496246338,0.007225862238556147,,,,,,
39.21,0.5139956474304199,0.42288851737976074,0.007100283168256283,0.22809791564941406,0.7746363282203674,1.0084379908903429e-07,0.6999263167381287,0.9034286141395569,3.214738910628512e-07
39.75,0.5157099962234497,0.44371432065963745,0.01737366057932377,,,,0.22975818812847137,0.7880234718322754,1.8408686131010654e-08
40.26,,,,,,,,,
40.78,,,,,,,,,
41.29,,,,,,,,,
41.82,0.5134968757629395,0.46225062012672424,0.01842770352959633,,,,0.7798232436180115,0.9005670547485352,1.8391128264738654e-07
42.34,0.5144442319869995,0.44365715980529785,0.015471061691641808,0.19711294770240784,0.810777485370636,-5.86735815488737e-08,0.7125192880630493,0.8921648859977722,2.7161061666447495e-07
42.84,0.5275005102157593,0.4220028817653656,0.010717587545514107,,,,,,
43.36,0.5192179679870605,0.4187701940536499,0.010633879341185093,,,,,,
43.9,0.5387226939201355,0.42195916175842285,0.004849758930504322,,,,,,
44.43,0.5223780274391174,0.4254845678806305,0.013070150278508663,,,,0.2155272513628006,0.7089389562606812,3.695041925766418e-07
44.97,0.5067603588104248,0.4205726981163025,0.006661401130259037,0.7912547588348389,0.8437641263008118,1.0062624511419926e-07,,,
45.49,0.5206012725830078,0.420735627412796,0.0033576686400920153,0.7518194317817688,0.8840239644050598,1.280032932982067e-07,0.7475793361663818,0.8800192475318909,2.2133515642508428e-07
46.0,0.5316773653030396,0.42037147283554077,0.003415012266486883,,,,0.8400425314903259,0.8745574355125427,2.550515034727141e-07
46.51,0.5343826413154602,0.4268929958343506,0.010702557861804962,,,,,,
47.03,0.5266399383544922,0.4454006850719452,0.01628910005092621,,,,,,
47.56,0.5226138234138489,0.4420813024044037,0.01505541242659092,,,,,,
48.08,0.5130776166915894,0.4336279630661011,0.009566246531903744,0.7618541717529297,0.8576239347457886,3.1716163562123256e-07,,,
48.61,0.516433596611023,0.44203701615333557,0.005373713094741106,,,,,,
49.12,0.5094971060752869,0.4273308217525482,0.0038185082376003265,,,,,,
49.63,0.5145642757415771,0.4328291714191437,0.0009032018715515733,0.16646042466163635,0.73955237865448,1.0716902210106127e-07,0.7975226640701294,0.8506906032562256,3.537492148097954e-07
50.14,0.5222793221473694,0.4368400275707245,0.010676046833395958,,,,,,
50.65,0.5122318267822266,0.4260198473930359,0.007605874910950661,,,,,,
51.17,0.5213010311126709,0.4270904064178467,0.003317674621939659,,,,0.7984722852706909,0.8276344537734985,3.441412559368473e-07
51.7,0.5361457467079163,0.44345995783805847,0.015489229932427406,0.2666267454624176,0.836902379989624,2.745475171650469e-07,0.808191180229187,0.9135583639144897,5.6126268077605346e-08
52.22,0.5141125917434692,0.44110122323036194,0.014041761867702007,,,,0.5650634169578552,0.9501808285713196,3.841524289782683e-07
52.73,0.5064235925674438,0.4422166347503662,0.011402823962271214,,,,,,
53.28,0.5417677164077759,0.4501235783100128,0.011468121781945229,,,,0.8434371948242188,0.9044151306152344,7.834493231939632e-08
53.79,0.5405484437942505,0.4480184316635132,0.01366888452321291,,,,0.8364180326461792,0.8361983299255371,2.3012685801404587e-07
54.3,0.5456394553184509,0.46292150020599365,0.020827360451221466,,,,,,
54.81,0.5294657945632935,0.45174986124038696,0.013114174827933311,,,,,,
55.35,0.536781370639801,0.4416351616382599,0.010057381354272366,,,,0.8282074332237244,0.8167595267295837,4.273909439689305e-07
55.86,0.5379337072372437,0.44443872570991516,0.013744637370109558,,,,,,
56.37,0.518181324005127,0.4355020523071289,0.006386269815266132,0.15917851030826569,0.7118086814880371,5.682519699234945e-08,0.8210057020187378,0.8590872287750244,7.698503168285242e-08
56.91,0.517937421798706,0.4371238648891449,0.009653463959693909,,,,0.7813006043434143,0.8650656342506409,2.8497547077677154e-07
57.43,0.5326587557792664,0.4377230405807495,0.010564844124019146,0.2600187659263611,0.7624452710151672,-1.084027312359126e-09,,,
57.96,0.5281016826629639,0.4296860098838806,0.003375366562977433,,,,0.6438702940940857,0.9071621894836426,4.206213759516686e-07
58.47,0.518583357334137,0.42080509662628174,0.003735480597242713,,,,0.5616927146911621,0.8876304626464844,3.1555617852063733e-07
58.97,0.5477244853973389,0.43599164485931396,0.007343233097344637,0.21578441560268402,0.7690590620040894,1.6838977501265617e-07,,,
59.47,0.5383350849151611,0.429745614528656,0.0055597396567463875,,,,0.8330445289611816,0.7971011400222778,1.4067137499296223e-07
59.99,0.5395179986953735,0.43671637773513794,0.015056200325489044,,,,0.7916176915168762,0.8478289842605591,2.415086441942549e-07
60.49,0.5341310501098633,0.4377466142177582,0.01401558518409729,,,,,,
61.0,0.5404466390609741,0.4350886344909668,0.0060447994619607925,,,,0.8049004077911377,0.8362814784049988,3.2861976251297165e-07
61.54,0.5420100688934326,0.43799033761024475,0.010168042033910751,0.7507803440093994,0.9098246693611145,1.1165635527277118e-07,,,
62.08,0.5293170809745789,0.4355711340904236,0.011830107308924198,,,,,,
62.61,0.5300762057304382,0.43386131525039673,0.009151358157396317,0.7918632626533508,0.8534015417098999,-2.8949250108212254e-08,,,
63.14,0.5375598669052124,0.43667107820510864,0.009949247352778912,0.27590644359588623,0.7713097333908081,7.528694112579615e-08,0.7943733930587769,0.8679543733596802,2.534396230657876e-07
63.67,0.5346693992614746,0.4362685978412628,0.012015461921691895,,,,0.7005313038825989,0.884817361831665,1.9247359261953534e-07
64.18,0.5278558135032654,0.43592703342437744,0.008115848526358604,,,,0.5661635398864746,0.9254512786865234,3.9344826063825167e-07
64.71,0.5385311841964722,0.4412708580493927,0.009855752810835838,0.1815585345029831,0.7361510992050171,1.5796398145084822e-07,0.6634668111801147,0.9203477501869202,2.417071129912074e-07
